Acronym/Jargon,What does it stand for?,Explanation
DAI,Digital Audio Interface ,104 KBITS/S. 
Dark Fibre,,An inactive fibre-optic strand without electronics or optronics. 
DASS,Digital Access Switching Signalling Device. ,
DAT,Digital Audio Tape. ,
Data,,The representation of facts or instructions in a formalised manner suitable for communication
Data Centre,,"A data centre is a facility used to house computer systems and associated components, such as telecommunications and storage systems."
Data Communication,,The transfer of data in digital form between computers and networks. 
Data Compression,,A method of reducing the amount of data to be transmitted by applying an algorithm to the basic data at source. a decompression algorithm expands the data back to its original state at the other end of the link. 
Data Mining,,"the analysis step of the ""Knowledge Discovery in Databases"" process,  the computational process of discovering patterns in large data sets."
Data Networks,,A network established and operated for the specific purpose of providing data transmission services. 
Data Security Rating,,The significance of information security for a data entry
Data Stream,,All data transmitted through a communications line in a single read or write operation. 
Database,,A set of files created and amnaged by a common manager program
Datagram,,Used on packet switching networks
DB,Database,
DB,Database,
DB,Data Base,a optimise storage of data.
"DB9, DB15, DB25 ",,Types of plugs connectors between communication and computer devices whose categories are determined by their respective number of pins. DB refers to the physical structure of the connector. DB25 is the most commonly used connector for the RS-232 interface.
dB-dec/Bel,,Decibel. A unit of measure of signal strength. 
DBMS,Database management systems,"specially designed software applications that interact with the user, other applications, and the database itself to capture and analyse data."
DBS,Direct Broadcast Satellite,A satellite that sends one-way TV broadcasts to small dishes installed on homes. The service competes with CATV
DC,Direct Current. ,
DCC,Data Communication Channel. ,
DCCA,Diameter Credit Control Application,
DCCH,Dedicated Control Channel ,
DCE,Data Communications Equipment,Provides interface between Data Terminal Equipment and the network. For example
DCN,Data Communications Network. ,
DCS,Digtal Crossconnect System,Network element providing automatic cross-connection of a digital signal or its constituent parts. 
DDF,Digital Distribution Frame. ,
DDI,Direct Dial Inwards number,01xxx type numbers
DDM,Data Description Method,
Decimal Point Alignment,,A form of alignment for columns of numbers so that all of the decimal points line up under each other. 
DECnet,,A communication protocol of Digital Equipment Corporation DEC for connecting their computers plus supporting Ethernet LANs and WAN leased and public lines. 
Decodeable,,"A transmitted Codeword shall be considered ""Decodeable"" if"
Decoder,,A device that re-converts encoded data back into its original state. 
DECT,Digital Enhanced Cordless Telecommunications,"A digital communication standard, which is primarily used for creating cordless phone systems."
DECT,Digitial European Cordless Telecommunications,Digital Enhanced Cordless Technology
Dedicated Line,,Communications line that is indefinitely reserved for transmissions
Definitional Questions,,Definitional Questions can be used during the Assessment of Alternatives stage of the Buying Cycle. They are used to help a customer or client convert vague or soft Value Criteria into something hard or measurable. 
DEK,Data Encryption Key,Used for the encryption of message text and for the computation of message integrity checks signatures. 
Delivery Date,,The expected order delivery date (closed date)
DEMKO,Denmarks Elektriske Materielkontrol ,Electrical Testing Laboratory
Demodulation,,Process of returning a modulated signal to its original form. Modems perform demodulation by taking an analogue signal and returning it to its original digital form. 
Demultiplexing,,Separating of multiple input streams that were multiplexed into a common physical signal back into multiple output streams. 
Deregulation,,A country specific goverment policy aimed at removing bureaucratic constraints and regulations from telecommunications
DERIC,Distributed Emergency Radio Integrated Control. ,
DES,Data Encryption Standard,An encryption technique that scrambles data into unbreackable codes for use over public networks. A binary number is used as an encryption key and chosen randomly for each session
Description,,Details of an event
Despatcher,,A telephone based standard or VDU based user interface connected to the LSC for communicating with the system. 
Despatcher,,A device that provides the interface between the Radio Operator and the Trunked Radio System. 
Deviation Distortion,,Distortion in an FM receiver due to inadequate bandwidth
DFB,Distribution Fuse Box. ,
DHCP,Dynamic Host Configuration Protocol,Provides a mechanism for allocating IP addresses dynamically so that addresses can be reused when hosts no longer need them. 
DHTML,Dynamic Hypertext Mark-up Language. ,
Dial Tone,,That well-known tone as you pick up your phone a signal from your telephone company that you may begin dialling. In the event of very high load conditions it can sometimes be delayed. 
Dialling Parity,,Technological capability whereby a telephone customer can route a call over the network of a pre-selected phone company local or long distance without the need to dial an access code of extra digits. 
Dial-up,,Aconnection to the internet
Dial-up Line,,A two-wire 2W switched telephone line which is part of the nationwide telephone system. The network is accessed by a dialling number. Differs from a leased line that has a permanent network connection. 
DIAMETER,Protocol,"Authentication, authorization, and accounting protocol for computer networks and an alternative to RADIUS."
DIAMETER,Transmission Protocol,
Dibit,,A group of two bits. 
DIC,Despatcher Interface Card. ,
Dice,Mobile Billing Platform,
DID,Direct Inward Dialling,To dial directly to another internal extension within a company without having to go through an operator. 
DIEL,,Advisory Committee on Telecommunicatins for Disabled and Elderly People UK. 
Differential Encoding,,Digital encoding technique whereby a binary value is denoted by a signal change rather than a particular signal level. 
Digital,,Using a binary code to represent data in the form of bits that have two states
Digital Cross Connect,,An electronic switching system
Digital Data Network,,A network specifically designed for the transmission of data
DIQ,Debt In Query,Debt In Query - Fixed Line Billing Services term for total debt owed to the business by a customer who has an ongoing query with a bill.
DIS,,Disconnection line broken 
Distributed Processing,,A computer network in which the processing of information is initiated in local computers and the resulting data is sent to a central computer for integration with data from other local systems. 
Diversion,,A procedure whereby a party may request that future calls to a particular address be redirected to an alternative destination. 
DL,Distribution List,Distribution List
DLC,Data Link Control,Characters used to control transmissions of data by performing various error checking functions to ensure that bits sent and received are the same. Ethernet and Token Ring LAN's provide data link servcies over the network. 
DLC,Digital Loop Carrier,Equipment that concentrates analogue loop lines
DLL,Dynamic Link Library,A Microsoft windows and OS/2 feature that allows executable routines to be loaded on demand and linked at run time. Creates functionality that can be shared in the system. Enables library code to become transparent to applications
DMA,Data Management Amendment ,OLO/BT Documentation. 
DMA,Direct Memory Access,Transfer of data from a peripheral device
DME,Distributed Management Environment ,
DMS,DOCUMENT MANAGEMENT SYSTEM,
DMSU,Digital Main Switching Unit. ,
DNA,Digital Network Architecture,Network architecture developed by Digital Equipment Corporation. The products that embody DNA including communications protocols are collectively referred to as DECnet. 
DNIS,Dialled Number Identification Serivce,A feature of 800 and 900 lines that enables the number the caller dialled to reach the attached computer telephony system. By utilitsing DNIS capabilities
DNS,Domain Name Server,
DNS,Domain name system,
DNS,Domain Name System,System used in the internet for translating names of network nodes into addresses. 
DNSP,Direct Network Service Providers,Companies e.g. Vodafone providing connectivity to GCN
DO,Donor Operator = Loosing Operator,
DOC,Pre Office 2010 Word file extension,"Word file extension used by pre Office 2010 versions, in use still with many legacy customers."
DOC1,Bill Print system,
Document,,A document will consist of textual
DOCX,Office 2010 Word file extension,Word file extension used by Office 2010 version.
DOD,Direct Outward Dialling,Direct dial from an extenstion without having to go through an operator. e.g. in PBX and hybrid phone systems
Domain,,In the internet
DORM,Daily Operational Review Meeting,
DORM,Daily Operational Review Meeting,
DOS,Disk Operating System,Until the introduction of Windows
Downlink,,"That section of a communications link that ""gets"" data to the users station. e.g. the part of a transmission link that reaches from a satellite to the ground. For opposite see Uplink. "
Download,,Receiving a file from a host onto a clients hard disk. 
Downstream,,The direction in which data travels
Downtime,Downtime,Loss of production time due to issue
DP,Detection Point,
DPC,Destination Point Code,
DPI,Deep Packet Inspection,
DPI,Deep Packet Inspection,
DPNSS,Digital Private Network Signalling System,A protocol for PBX-to-PBX communications. 
DPNSS,Digital Private Network Signalling System,A network protocol used on digital trunk lines for connecting two PABX. It supports a defined set of inter-networking facilities.
DPSK,Differential Phase Shift Keying,A modulation technique triggered by a change in the signal's phase. 
DQDB,Distributed Queue Dual Bus,Data link layer communication protocol
DR,Disaster and Recovery,
DR,Disaster and Recovery,
DRAM,Dynamic Random Access Memory,RAM that stores information in capacitors that must be periodically refreshed. Delays can occur because DRAMs are inaccessible to the processor when refreshing their contents. 
Drawing,,A drawing is a visual representation which usually shows the technical information relating to various equipment. This includes floor plans
DRB,DESIGN REVIEW BOARD,
DRG,Direction de la Reglementation Generale,Approval Authority
Driver,,Software that links an external device such as a printer
DS,Danske Standardiseringsrad ,Standard Institution
DS,Directory Services ,
DSA,Directory Service Agent ,
DSA,Distributed System Architecture ,
DSDM,Dynamic Systems Development Methodology. ,
DSE,DECISION SUPPORT EXCELLENCE,
DSI,Digital Speech Interpolation ,
DSL,Digital Subscriber Line,A family of technologies generally referred to as DSL
DSL,Digital Subscriber Line,"A family of technologies that provides digital data transmission over the wires of a local telephone network and is widely understood to mean Asymmetric Digital Subscriber Line (ADSL), the most commonly installed technical variety of DSL. DSL service is d"
DSP,Digital Signal Processor,A DSP analyses and processes analogue signals
DSR,Data Set Ready,EIA/TIA-232 interface circuit that is activated when DCE is powered up and ready for use. 
DSRR,Digital Short Range Radio. ,
DSTE,Data Subscriber Terminal Equipment ,
DSU,Data Service Unit,Device used in digital transmission that adapts the physical interface on a DTE device to a transmission facility such as T1 or E1. The DSU is also responsible for such functions as signal timing. 
DTE,Data Terminal Equipment,Device at the user end of a user-network interface that serves as a data source
DTI,Department of Trade & Industry UK ,
DTMF,Dual Tone Multi Frequency,Use of two simultaneous voice-band tones for dialling such as touch tone. 
Duopoly Framework,,The telecoms regulatory framework applying in the UK from 1984 to 1991
Duplex,Duplex,A duplex communication system is a system composed of two connected parties or devices that can communicate with one another in both directions. (The term multiplexing is used when describing communication between more than two parties or devices.)
Duplex,,Simultaneous two-way transmission allowing concurrent data and signalling on the same line. Although it usually requires a 4 wire line
Duplexer,,A steering system that allows a single antenna to be used for transmission and reception while maintaining the necessary isolation between transmitter and receiver. 
DVB,Digital Video Broadcasting ,
DXI,Data Exchange Interface,An SMDS interface between the customer and the network used at low speeds
Dynamic Efficiency,,Achieved when firms have the correct incentives to invest e.g. in new infrastructure and to innovate e.g. to generate new technologies or products. 
Dynamic Route,,A path to another network that the router learns by means of dynamic updates from other routers
Dynamic Routing,,A routing technique that enables a message's route to change as the message proceeds along the network. 
E & M Signalling,,"In telephony, the use of seperate leads ""E"" and ""M"" at the near and far ends for purposes of signalling and supervision. The application of -48 volts dc to either of the leads results in grounding at the opposite end."
E1,,The international standard for high-speed voice/data transmission
EAC,Emergency Action Centre,A centre which is established locally and is near/within a business area
EAI,Enterprise Application Integration,Integrating IT systems with new applications; a sophisticated approach to middleware. 
EAM,Equipment Accomodation Module. ,
EAS,Extended Area Service,A telephone company service allowing user's access to an extended area at a slightly higher flat rate. 
EBCDIC,Extended Binary Coded Decimal Interchange Code,An eight character code used primarily in IBM equipment. The code allows for 256 diferent bit patterns. 
EBER,Equivalent Bit Rate Error. ,
EBITDA ,"Earnings before interest, tax, depreciation and amortizatio","Earnings before interest, tax, depreciation and amortization - the amount of money we make"
EBU,European Broadcasting Unit. ,
e-business,,Using the Internet & e-mail to complement your business wihtout necessarily selling products or a service. 
EC,European Commission. ,
eCare,online.vodafone.co.uk (My Account),
ECBF,European Citizen's Band Federation. ,
ECC,Emergency Control Centre,Purpose built faciilty to manage and control a business incident or emergency. 
ECFRN,European Consultative Forum for Research Networking. ,
Echo,,A signal that determines whether a node can receive adn acknowledge data transmissions. A host sends an echo request packet. If the destination is properly connected and receives the echo request packet
Echo Cancellor,,A chip that identifies and erases echoes ocurring in satellite and terrestrial long-distance phone calls. 
Echo Suppressor,,Reduces the annoying effects of echoes in telephone connections. Works by tuning off transmission in the reverse direction while one person is talking
ECITC,European Committee for IT Testing & Certification. ,
ECMA,European Computer Manufacturer's Association,A Geneva based association that sets standards in the area of computer manufacturing. 
e-commerce,,Rapidly expanding range of on-line services invovling real time commercial transactions
ECT,Explicit Call Transfer,
ECTEL,The Association of the European Telecommunications and Professional Electronics Industry. ,
ECTRA,European Committee for Telecommunications Regulatory Affairs. ,
ECTT C,European Committee for Telecommunications Testing Certification. ,
ECTUA,European Council of Telecommunications Users Assocation. ,
ECU,European Currency Unit. ,
EDD,Expected Delivery Date,Term used by UK & GTES Delivery Teams
EDGE,Enhanced Data Rates for GSM Evolution,A digital mobile phone technology that allows improved data transmission rates as a backward-compatible extension of GSM. EDGE is considered a pre-3G radio technology and is part of ITU's 3G definition.
EDH,Electronic Document Handling. ,
EDI,Electronic Data Interchange,A process that replaces the transfer of purchase orders and other business documents with computer-to-computer communications 
EDN,Enterprise Data Network,
EEA,The Assoication of Electronics,
EEC,European Economic Community. ,
EEMA,European Electronic Mail Association. ,
EEPROM,Electrically Erasable Programmable Read-Only Memory,EPROM that can be erased using electrical signals applied to specific pins. 
EFQM,European Foundation for Quality Management. ,
EFTA,European Free Trade Association. ,
EFTPOS,Electronic Funds Transfer Point Of Sale. ,
EGB,List of Avaya Equipment in Stirling (Edit Great Britain),"A detailed list of all components and costs associated with a unique Solution Design, including hardware, software and licenses."
EGP,Exterior Gateway Protocol,A routing protocol used bygateways in two-level Internets. EGP is used in the Internet core system. 
EHF,Extremely High Frequency. ,
EIA,Electronic Industries Association,Group that specifies electrical transmission standards. The EIA and TIA have developed numerous well known communications standards including EIA/TIA-232 and EIA/TIA-449. 
EIR,Equipment Identify Register. ,
EIUF,European ISDN User Forum ,
EJB,RSS Extension Junction Box. ,
ELINK,Enterprise Link,
ELOT,,Hellenic Organisation for Standardisation Greece. 
EMA,Ericsson Multi-Activation,
EMAG,ETSI MIS Advisory Group. ,
e-mail,,T he process of transmitting correspondence and files electronically
email Gateway,,An e-mail Gateway is a device/computer that processes data
EMAS,Eco-Management & Auditing Sceme. ,
EMC,Electromagnetic Capacity,
EMCP,Externally Managed Channel Partner. ,
EMI,Electromagnetic Interference,Interference by electromagnetic signals that can cause reduced data integrity and increased error rates on transmission channels. 
eMLPP,enhaced Multi-Level Precedence and Pre-emption Service,
EMM,Ericsson Multi Mediation,
EM-OS,Equipment Management-Operations System. ,
EMS,Element Management System,
EMS,Environmental Management System. ,
EMT,Emergency Management Team,A team set up consisting of nominated individuals representing key business areas and support functions. Other individuals may be required to participate depending on the nature of the emergency and business area concerned
Emulation,,A program running on a platform that simulates emulates or duplicates another program e.g. a terminal emulation on a PC platform. 
EN,Norme Europeene,European Standards. 
Encapasulation,,The use of header data to route data packets from high level protocol to a lower level. This is one of serveral definitions
Encoder,,Device that modifies information into the required transmission format. 
Encryption,,Application of a specific algorithm to data so as to alter the appearance of the data making it incomprehensible to those who are not authorised to see the information. 
End-to-End Delay,,An asynchronous transfer mode ATM routing metric that measures the time it takes a cell to get from one end of a connection to the other. 
ENE,European Network Evolution,
Enhanced Services,,Additional transmssion services that are offered without charge. 
Enquiry,,Document issued to a supplier requesting technical
ENSO,,ETSI/National Standardisaiton Organisation ETSI 
Enterprise Act,,Enterprise Act 2002
Enterprise Customers,Enterprise Customers,"Our business customers , ranging from sole traders to global companies."
Enterprise Network,,Large and diverse network connecting most major points in a company or other organisation. Differs from a WAN in that it is privately owned and maintained. 
EO,ENTERPRISE ONLINE,
EOM,End Of Message,Indicator that identifies the last ATM cell containing information form a data packet that was segmented. 
EOQ,European Organisation for Quality. ,
EoS,End of Service,
EoS,End of Service,
EOT,End of Transmission. Generally,
EOTC,European Organisation for Testing & Certification. ,
EPIRB,Emergency Position Indicating Radio Beacons. ,
EPRB,ENTERPRISE PROGRAMME REVIEW BOARD,
EPROM,Erasable Programmable Read-Only Memory,Nonvolatile memory chips that are programmed after they are manufactured
EQDC,Engineering Quality Data Checks. ,
Erlang,,A measurement of telephone traffic. Specifies the total capacity or average use of a telephone system. One erlang = one hour of conversation. 
ERMES,European Readio Messaging System. ,
ERP,Enterprise Resource Planning,The linking of a company's various business operations and functions by means of complex software. ERP is now being rapidly extended to the growing number of e-business applications being developed over the Internet
ERP,ENTERPRISE RESOURCE PLANNING,
Error Control,,Technique for detecting and correcting errors in data transmissions. 
ES,European Standard ,
ESB/ISB,ENTERPRISE/INTEGRATION SERVICE BUS,
ESD,Electrostatic Discharge,Discharge of stored static electricity that can damage electronic equipment and impair electrical circuitry
ESD,EVO SERVICE DESK,
ESE,Enhanced Steering Edge,
ESE,Enhanced Steering Edge,
eShop,Vodafone.co.uk Webshop,
eShop,,Vodafone.co.uk Webshop
eSM,(Alcatel Lucent) enhanced Services Manager,
ESMTP,Extended Simple Mail Transfer Protocol,Extended version of SMTP which includes additional functionality such as delivery notification and session delivery. 
ESPRIT,European Strategic Programme for Research & Development in Information Technology. ,
ESS,EMPLOYEE SELF SERVICE,
ESSD,Electrostatic Sensitive Devices. ,
ETACS,Extended Total Access System ,
ETB,ENTERPRISE TRANSFORMATION BOARD,
ETCI,Electro Technical Council of Ireland. ,
Etherflow,Etherflow,
Ethernet,Ethernet,A family of frame-based computer networking technologies for local area networks (LAN). It defines a number of wiring and signaling standards for the Physical Layer of the OSI networking model as well as a common addressing format and a variety of Medium 
Ethernet,,The most common layer-two protocol used in LANs. Ethernet is a 10 Mbps CSMA/CD standard originally developed by Xerox to run on thick coaxial cabling. It has evolved and now runs primarily on twisted pair cabling. 
Etherway,Etherway,
ETR,Estimated Time of Repair,
ETR,ETSI Technical Report. ,
ETS,European Telecommunication Standard. ,
ETSA,European Telecommunication Services Association. ,
ETSI,European Telecommunications Standards Institute,
ETSI,European Telecommunications Standards Institute,
ETSI,European Telecommunications Standards Institute,
ETWS,Earthquake and Tsunami Warning System,
EURESCON,European Institute for Reasearch & Strategic Studies In Telecommunications ,
EUSIDIC,European Assoication of Information Services ,
EUTELSAT,European Telecommunications Satelite Organisation ,
E-UTRAN,Evolved Universal Terrestrial Radio Access Network,
EVO,EVOLUTION VODAFONE,
EWOS,European Workshop for Open Systems ,
EWP,ETSI Work Programme ,
Exception,,Details of an incident where Availability <100.00%
Exchange,,A telephone company's switching centre to which subscribers and trunks are connected. 
Expansion,,The process of running a compressed data set through an algorithm that restores the data set to its original size. 
EXT,EXTERNAL SERVICES,
Extended Addressing,,A method which allows called party details to be conveyed to the trunking system controller when the call details connot be accommodated in a single address Codeword. These called-party details may be an address or addressing information in a different form e.g. PSTN dialling digits. 
Extranet,,An internal corporate network
Fallback,,Mechanism used by ATM networks when rigourous path selection does not generate an acceptable path. The fallback mechanism attempts to determine a path by selectively relaxing certain attributes
Fast Ethernet,,A LAN transmission standard with a data rate of 100Mbps. A workstation with a 10Mbps 10Base-T Ethernet card can be connected to a Fast Ethernet network. 
Fast Packet Switching,,A term for cell relay switching see also ATM 
FAULT (FLT),,A customer reported incident 
Fault Tolerant,,When a computer or network has been made resistant to software errors or hardware problems. Some systems try to ensure that even in the event of power failure
Fax,,Facsimile. On-line communication between two machines whereby hard copy is sent through the switched telephone system
FC,Frequency Coordination ,
FCC,Federal Communication Commission,The US regulatory body that regulates all inter-state and foreign communications by wire
FCC Part 68,,An FCC standard that must be met by all exporters of telecommunications equipment to the US. 
FCCP,Flexible Cross Connection Point. ,
FCDD,First Confirmed Delivery Date,Terms used by GTES/ UK TES Delivery Teams
FCI,Furnish Charging Information,
FCS,Federation of Communications Services UK ,
FCS,Frame Check Sequence,Extra characters added to a frame for error control purposes. Used in HDLC
FDA,Functional Deployment Analysis. ,
FDDI,Fibre Distributed Data Interface,The ANSI standard for 100 Mbps LANs. 
FDDI II,,ANSI standard that enhances FDDI. FDDI II provides isochronous transmission for connectionless data circuits and connection-oriented voice and video circuits. 
FDM,Frequency Division Multiplexing,Method by which the available transmission frequency range is divided into narrower bands; each of these bands is used for a separate channel. This allows several signals to be sent over the same transmission medium. 
FDMA,Frequency Division Multiple Access. ,
FDS / FSD,Functional Design Specification / Functional Specifications Document,"A functional specification (also, functional spec, specs, functional specifications document (FSD ),  functional design specification (FDS), functional requirements specification, or Program specification) in systems engineering and software development is the documentation that describes the requested behaviour of an engineering system"
FDTVM,Free Divert To Voice Mail,
FEC,Forward Error Correction,An error correction technique in which redundant bits are transmitted along with the payload enabling the receiving station to detect error and to correct the message. 
FEP,Front End Processor,Device or board that provides network interface capabilities for a networked device. 
FF,Friends & Family (Wellington),
Fibre Optic,,A cable made of very pure glass that carries light signals at the speed of light as does copper wire
FIFO,First In First Out,A storage method that retrives the item stored the longest. Or in queues
FIGS,Fraud Information Gathering Systems,
File Transfer,,Category of popular network applications that allow files to be moved from one network device to another. 
Filter,,Generally and determines whether to forward or discard that traffic based on the established criteria.
Firewall,,A hardware/software tool that allows a network administrator to determine what type of users can access the resources on the network. The firewall provides a mechanism to monitor and funnel data from authorised users only through the firewall to and from the network. A firewall may be a software programme that runs on UNIX or other platforms
Fixed,Fixed Line,"Non-mobile telephone networks, traditionally fixed lines such as the one operated by BT and now offered by Vodafone, through it's purchase of Cable and Wireless in 2013."
Fixed Link,Physical link between customer and Vodafone,
Flapping,,Routing problems where an advertised route between two nodes alternates flaps back and forth between two paths due to a network problem that causes intermittent interface failures. 
Flash,,A solution for producing high-impact
Flooding,,Traffic passing technique used by switches and bridges in which traffic received on an interface is sent out to all of the interfaces of that device except the interface on which the information was originally received. 
Flow,,Stream of data travelling between two endpoints across a network e.g. from one LAN station to another. Multiple flows can be transmitted on a single circuit. 
Flow Control,,Technique for ensuring that a transmitting entity
FLS,First Line of Support,
FM,Follow Me,
FM,Frequency Modulation,Modulation technique in which signals of different frequencies represent different data values. 
FMO,Field Maintenance Officer ,
FMW,Fusion Middleware,
FMW,Fusion Middleware,
FMW,Fusion Middleware,
FNF,Fault Not Found ,
Font,,Strictly speaking a set of characters that all belong to the same size and style of a typeface e.g. Courier is a typeface and 11 point italic Courier is a font: 12 point bold Courier is a different font. In practice most people use the word font to mean typeface
Forward Channel,,Communications path carrying information from the call initiator to the called party. 
FOTS,Fibre Optics Transmission Systems,Vendor-proprietary fibre-optic transmission equipment. 
FP,FIXED PRICE,
FPLMTS,Future Public Land Mobile Telecommunications Sytems. ,
FPS,Fire Protection System,
FQDM,Fully Qualiified Domain Name ,
FRA,Fixed Radio Access ,
Fractional T-1,,A popular digital line that is not as fast as a full T-1
FRAD,Frame Relay Access Device,Any network device that provides a connection between a LAN and a Frame Relay WAN. 
Fragment,,Piece of a larger packet that has been broken down to smaller units. 
Fragmentation,,Process of breaking a packet into smaller units when transmitting over a network medium that cannot support the original size of the packet. 
Frame,,A segment of a digital signal that has a repetitive characteristic in that corresponding elements of successive frames represent the same things. In a time-division multiplex system
Frame Relay,Frame Relay,A standardized wide area network technology that specifies the physical and logical link layers of digital telecommunications channels using a packet switching methodology.
Frame Relay,,The emerging standard for high-speed data communications
Framing,,An error control procedure with multiplexed digital channels
FRE,Frame Relay Engine ,
Freebees,Freebees,"A reward scheme for Pay As You Go, offering customers set minutes/texts or data for a single top up price per month."
Freeware,,Software released to the public free of charge
Frequency,,Number of cycles per unit of time
Frequency Hopping,,A transmission technology in which packets of information hop along the clearest frequencies in a bandwidth. 
FSD,Fixed Service Desk in Customer Operations,
FSG,,The ETSI PSTN Full Steering Group 
FSK,Frequency Shift Keying,"A modulation technique for translating the two data bits ""zeros"" and ""ones"""
FSS,Fixed Services Support in Customer Operations,
FTAM,File Transfer Access and Management,The standard for the transfer of whole files or parts of files between endsystems. 
FTC,Fast Track Change ,
FTC,Fast Track Change ,
FTE,FULL TIME EMPLOYEE,
FTP, file transfer protocol,
FTP,File Transfer Protocol,
FTP,File Transfer Protocol,A feature of the Internet that allows users to transfer files from other hosts. 
FTP,File Transfer Protocol,"a standard network protocol used to transfer computer files from one host to another host over a TCP-based network, such as the Internet."
FTP Server,,A server that a user can contact in order to transfer files by means of the FTP over a TCP/IP network. 
FTPF,File Transfer Protocol Filter ,
FTTC,Fibre To The Curb,A situation in which fibre optic cable is only implemented as far as street block level the curb
Full-Duplex,,Capability for simultaneous data transmission between a sending station anda receiving station. 
Function Manager,,A manager with responsibility for the operation of specific functions within the business. Functional managers will generally be direct report of the Chief Executive. 
FY,Financial Year,Financial Year
G0 –G1 ,CONCEPT,
G1 –G2 ,ANALYSE,
G2 –G3 ,DESIGN,
G21,Legacy Protocol for trunk connectivity to BT,Switching equipment between Networks (fixed and mobile) which is now end-of-life and being replaced with IP technology
G3 -G4 ,BUILD,
G4 –G5 ,TEST,
G5 –G6 ,DEPLOY,
G6 –BR ,OPERATE,
GA,GROUP APPLICATIONS,
GAB,GATED APPROVAL BOARD,
GAD,Geographical Area Description,
Gatekeeper,,H.323 entity on a LAN that provides address translation and control access to the LAN for H.323 teminals and gateways. The gatekeeper can provide other services to the H.323 terminals and gateways
Gateway,,Gateways are points of entrance to and exit form a communications network. Viewed as a physical entity
GATS,GROSS APPLICATION TIMESHEETS,
GATT,General Agreement on Tariffs & Trade. ,
GCB,Global Corporate Billing,Manual Billing System
GCF,Gsi Conversion Framework,PSN compliant contract for procuring secure customer networks & services. Also includes GSX Local authority services
GCN,Government Conveyancing Network,Core Network by which customers access PSN services
GCSD,GROUP CUSTOMER SOLUTIONS DELIVERY,
GDP,Gross Domestic Product. ,
GDT,Gas Discharge Tube ,
Gemini,Corporate and Libra Gemini,Mobile Billing platforms
GEN,Global European Network. BT,
Geoprobe,,a probe that exists in the network and listens to signalling between 2 boxes
GGSN,Gateway GPRS Support Node,
GGSN,Gateway GPRS Support Node,
GHz,Gigahertz,
GIF,Graphics Interchange Format,Acompression standard for images used in hypertext documents. 
Gigabit Ethernet,,An Ethernet implementation based on fibre optic cabling
GIPL,"Get installed product list (extras, add-ons)",
GIS,Geographical Information System. ,
Glidepath,,Graph to show clear path to resolution
GLMP,GATED LIFECYCLE MANAGEMENT PROCESS,
GMDSS,Global Maritime Distress & Safety System. ,
GMT,General Management Team (or Greenwich Mean Time),General Management Team (or Greenwich Mean Time)
GMT,Greenwich Mean Time,All times quoted in this document use GMT
GNP,Geographic Number Portability,
Gopher,,Distributed document delivery system. The Internet gopher allows a neophyte user to access various types of data residing on multiple hosts in a seamless fashion. 
GoS,Grade Of Service,Measure of telephone service quality based on the probability that a call will encounter a busy signal during the busiest hours of the day. 
GOS,GROUP OPERATION SERVICES,
GPI,get payment information,
GPRS,General Packet Radio Service,A packet data service providedover so-called 2.5G mobile networks. 
GPRS,General Packet Radio System,"A packet oriented mobile data service on the 2G and 3G cellular communication systems global system for mobile communications (GSM). It is a best-effort service, as opposed to circuit switching, where a certain quality of service (QoS) is guaranteed durin"
GPS,Global Postioning Satellite System,A system that uses radio signals between a vessel or vehicle on Earth to pinpoint the location of the vehicle or vessel. 
Grade,,Category or rank given to entities having the same functional use but different requirement for quality. 
Graphic,,A pictre or illustration also called an image. Formats include GIF
Great Plains,Great Plains,"A Microsoft application used within UCS for Sales & Purchase Orders, Sales & Purchase Ledger, Inventory Management, Service Management & Reporting, and Financial Management & Reporting."
Group,,Collection of mobiles which have the same identity. 
Group Address,,"An ""address"" which is common to more than one unit and which when nominated as the called ""address"" signifies a ""group call"". "
Group Broadcast Call,,A call to a group of users which does not allow them to take part in the conversation. 
Groupware,,Software designed to allow a group of users on the same LAN to participate in a joint project. Also refer to software capable of tracking changes made to documents shared by serveral people in an organisation. 
GSB,Groovy service bridge,
GSD,Global Service Desk,
GSD,GLOBAL SERVICE DESK,
Gsi,Government Secure Intranet,Secure government network (part of GCF)
GSM,Global Standard for Mobile Telephony,Formerly stood for Groupe Speciale Mobile. Digital cellular telephone standard. 
GSM,Global System for Mobile Communications,"Both signaling and speech channels are digital, and thus GSM is considered a second generation (2G) mobile phone system. This also facilitates the wide-spread implementation of data communication applications into the system."
GSM MS,GSM Mobile Station ,
GSM PLMN,GSM Public Land Mobile Network. ,
GSX,Government Secure eXtranet,Secure local authority network (part of GCF)
GTC,Go To Channel,Instructions sent by the System to a Mobile Radio Unit instructing it to tune to the designated traffic channel. 
GTM,Go To Market,"A function within Consumer that manages the A-Z journey of a new product/proposition, and takes it from concept to market launch and completion/onwards."
GTN,Geographic Telephone Number,01xxx type numbers that identify the STD code area of the number owner
GTO,GROUP TRANSFORMATION AND OPERATIONS,
GUI,Graphic User Interface,User environment that uses pictorial as well as textual representations of the input and output of applications and the hierarchical or other data structure in which information is stored. Conventions such as buttons
GUP,Generic User Profile,
H.245,,This is a control channel that controls messages governing the operations of an H.323 terminal
H.323,,ITU-T standard defining a set of call control
H/W,HARDWARE OPERATIONAL AND SUPPORT COSTS,
Half-Duplex,,A transmission mode which permits transmission in both directions
Handoff,,A call in progress is automatically passed from one cell or zone to another without dropping the call as the user moves. 
